ID;ParentID;Tipo;Secuencia;Descripción;Cliente;Vehículo;RefInterno;versión;Imagen;Consumo;Unidad;Sourcing;Código
31;30;Insumo;1; PLASTICO APB IZQ T71A                   ;;;;;;1; UN   ;; 00152614-02-NHZ
32;30;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.092314; MT2  ;; 00209835-01-V20
33;30;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
34;30;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.033333; BO   ;; AD - REGV0.6   
35;30;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
36;30;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
37;30;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
38;30;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
39;;Pieza Final;1;;;;;;;;;;00152594-04-V20
40;39;Insumo;1; PLASTICO APB IZQ T71A                   ;;;;;;1; UN   ;; 00152614-02-NHZ
41;39;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.092333; MT2  ;; 00209835-01-V20
42;39;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
43;39;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
44;39;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
45;39;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
46;39;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
47;39;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
48;;Pieza Final;1;;;;;;;;;;00152624-03-NHZ
49;48;Insumo;1; PLASTICO APB.DER T71A                   ;;;;;;1; UN   ;; 00152438-02-NHZ
50;48;Insumo;2; SANSUY CUERO APB                        ;;;;;;0.115077; MT2  ;; 00173623-01-V20
51;48;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
52;48;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
53;48;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
54;48;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
55;48;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
56;48;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
57;;Pieza Final;1;;;;;;;;;;00152624-04-NHZ
58;57;Insumo;1; PLASTICO APB.DER T71A                   ;;;;;;1; UN   ;; 00152438-02-NHZ
59;57;Insumo;2; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
60;57;Insumo;3; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
61;57;Insumo;4; Bandejas grises REYDEL                  ;;;;;;0.08333; UN   ;; BAN-REYDEL     
62;57;Insumo;5; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002888; BI   ;; PPBL - 3A      
63;57;Insumo;6; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
64;57;Insumo;7; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
65;57;Insumo;8; SAMFOAM III TEP-CL58-PRETO S092         ;;;;;;0.11507; MTS  ;; TEPCL58        
66;;Pieza Final;1;;;;;;;;;;00152749-03-NHZ
67;66;Insumo;1; PLASTICO APB IZQ T71A                   ;;;;;;1; UN   ;; 00152614-02-NHZ
68;66;Insumo;2; SANSUY CUERO APB                        ;;;;;;0.115077; MT2  ;; 00173623-01-V20
69;66;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
70;66;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
71;66;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
72;66;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
73;66;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
74;66;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
75;;Pieza Final;1;;;;;;;;;;00152749-04-NHZ
76;75;Insumo;1; PLASTICO APB IZQ T71A                   ;;;;;;1; UN   ;; 00152614-02-NHZ
77;75;Insumo;2; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
78;75;Insumo;3; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
79;75;Insumo;4; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
80;75;Insumo;5; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
81;75;Insumo;6; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
82;75;Insumo;7; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
83;75;Insumo;8; SAMFOAM III TEP-CL58-PRETO S092         ;;;;;;0.11507; MTS  ;; TEPCL58        
84;;Pieza Final;1;;;;;;;;;;00157072-02-NHZ
85;84;Insumo;1; BANDEAU DEL IZQ B7                      ;;;;;;1; UN   ;; 00162534-02-NHZ
86;84;Insumo;2; PVC COIL - GAE V224                     ;;;;;;0.56; MT2  ;; 00172128-01-NHZ
87;84;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.006667; BI   ;; AD - ADFA15    
88;84;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.006667; BO   ;; AD - REGV0.6   
89;84;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
90;84;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.008696; BI   ;; PPBL - 3A      
91;84;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.008696; BI   ;; PPBL - 3B      
92;84;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
93;;Pieza Final;1;;;;;;;;;;00157072-03-NHZ
94;93;Insumo;1; BANDEAU DEL IZQ B7                      ;;;;;;1; UN   ;; 00162534-02-NHZ
95;93;Insumo;2; ADHESIVO FA X 18 L.                     ;;;;;;0.006667; BI   ;; AD - ADFA15    
96;93;Insumo;3; RETICULANTE GV X 0.6 KG                 ;;;;;;0.006667; BO   ;; AD - REGV0.6   
97;93;Insumo;4; Bandejas grises REYDEL                  ;;;;;;0.08333; UN   ;; BAN-REYDEL     
98;93;Insumo;5; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.008667; BI   ;; PPBL - 3A      
99;93;Insumo;6; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.008667; BI   ;; PPBL - 3B      
100;93;Insumo;7; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
101;93;Insumo;8; ACELLA 2248 MISTRAL 1,35MM - ANCHO 1.60M;;;;;;0.31;      ;; V8550450A1600A 
102;;Pieza Final;1;;;;;;;;;;00157077-02-NHZ
103;102;Insumo;1; BANDEAU DEL DER                         ;;;;;;1; UN   ;; 00162543-02-NHZ
104;102;Insumo;2; PVC COIL - GAE V224                     ;;;;;;0.2; MT2  ;; 00172128-01-NHZ
105;102;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.006667; BI   ;; AD - ADFA15    
106;102;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.006667; BO   ;; AD - REGV0.6   
107;102;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
108;102;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.008696; BI   ;; PPBL - 3A      
109;102;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.008696; BI   ;; PPBL - 3B      
110;102;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
111;;Pieza Final;1;;;;;;;;;;00157077-03-NHZ
112;111;Insumo;1; BANDEAU DEL DER                         ;;;;;;1; UN   ;; 00162543-02-NHZ
113;111;Insumo;2; ADHESIVO FA X 18 L.                     ;;;;;;0.006666; BI   ;; AD - ADFA15    
114;111;Insumo;3; RETICULANTE GV X 0.6 KG                 ;;;;;;0.006666; BO   ;; AD - REGV0.6   
115;111;Insumo;4; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
116;111;Insumo;5; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.008666; BI   ;; PPBL - 3A      
117;111;Insumo;6; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.008666; BI   ;; PPBL - 3B      
118;111;Insumo;7; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
119;111;Insumo;8; ACELLA 2248 MISTRAL 1,35MM - ANCHO 1.60M;;;;;;0.31;      ;; V8550450A1600A 
120;;Pieza Final;1;;;;;;;;;;00162062-03-NHZ
121;120;Insumo;1; PLASTICO HANDBRAKE - ASSY (COFIA)       ;;;;;;1; UN   ;; 00162063-01-000
122;120;Insumo;2; SANSUY CUERO APB                        ;;;;;;0.12099; MT2  ;; 00173623-01-V20
123;120;Insumo;3; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
124;120;Insumo;4; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
125;;Pieza Final;1;;;;;;;;;;00162064-01-NHZ
126;125;Insumo;1; PLASTICO HANDBRAKE - ASSY (COFIA)       ;;;;;;1; UN   ;; 00162063-01-000
127;125;Insumo;2; SANSUY COFIA                            ;;;;;;0.12096; MT2  ;; 00173642-01-NHZ
128;125;Insumo;3; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
129;125;Insumo;4; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
130;;Pieza Final;1;;;;;;;;;;00162535-03-V20
131;130;Insumo;1; PLASTICO APB IZQ B7 DEL.                ;;;;;;1; UN   ;; 00162536-02-NHZ
132;130;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.129696; MT2  ;; 00209835-01-V20
133;130;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.1; BI   ;; AD - ADFA15    
134;130;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.1; BO   ;; AD - REGV0.6   
135;130;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
136;130;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.1; BI   ;; PPBL - 3A      
137;130;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.1; BI   ;; PPBL - 3B      
138;130;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
139;;Pieza Final;1;;;;;;;;;;00162535-04-V20
140;139;Insumo;1; PLASTICO APB IZQ B7 DEL.                ;;;;;;1; UN   ;; 00162536-02-NHZ
141;139;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.12969; MT2  ;; 00209835-01-V20
142;139;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
143;139;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
144;139;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.08333; UN   ;; BAN-REYDEL     
145;139;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
146;139;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
147;139;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
148;;Pieza Final;1;;;;;;;;;;00162535-05-V20
149;148;Insumo;1; PLASTICO APB IZQ B7 DEL.                ;;;;;;1; UN   ;; 00162536-02-NHZ
150;148;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.12969; MT2  ;; 00209835-01-V20
151;148;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
152;148;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
153;148;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
154;148;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
155;148;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
156;148;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
157;;Pieza Final;1;;;;;;;;;;00162545-03-V20
158;157;Insumo;1; PLASTICO APB DER B7 DEL.                ;;;;;;1; UN   ;; 00162546-02-NHZ
159;157;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.129698; MT2  ;; 00209835-01-V20
160;157;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.1; BI   ;; AD - ADFA15    
161;157;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.1; BO   ;; AD - REGV0.6   
162;157;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
163;157;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.1; BI   ;; PPBL - 3A      
164;157;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.1; BI   ;; PPBL - 3B      
165;157;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
166;;Pieza Final;1;;;;;;;;;;00162545-04-V20
167;166;Insumo;1; PLASTICO APB DER B7 DEL.                ;;;;;;1; UN   ;; 00162546-02-NHZ
168;166;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.12969; MT2  ;; 00209835-01-V20
169;166;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
170;166;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
171;166;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
172;166;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
173;166;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
174;166;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.16666; UN   ;; SEP/REYDEL     
175;;Pieza Final;1;;;;;;;;;;00162545-05-V20
176;175;Insumo;1; PLASTICO APB DER B7 DEL.                ;;;;;;1; UN   ;; 00162546-02-NHZ
177;175;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.1969; MT2  ;; 00209835-01-V20
178;175;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
179;175;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
180;175;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
181;175;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
182;175;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
183;175;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
184;;Pieza Final;1;;;;;;;;;;00162593-03-V20
185;184;Insumo;1; PLASTICO APB IZQ B7 TRAS.               ;;;;;;1; UN   ;; 00162594-02-NHZ
186;184;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.129698; MT2  ;; 00209835-01-V20
187;184;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.1; BI   ;; AD - ADFA15    
188;184;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.1; BO   ;; AD - REGV0.6   
189;184;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
190;184;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.1; BI   ;; PPBL - 3A      
191;184;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.1; BI   ;; PPBL - 3B      
192;184;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
193;;Pieza Final;1;;;;;;;;;;00162593-04-V20
194;193;Insumo;1; PLASTICO APB IZQ B7 TRAS.               ;;;;;;1; UN   ;; 00162594-02-NHZ
195;193;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.12969; MT2  ;; 00209835-01-V20
196;193;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
197;193;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
198;193;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
199;193;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
200;193;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
201;193;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
202;;Pieza Final;1;;;;;;;;;;00162593-05-V20
203;202;Insumo;1; PLASTICO APB IZQ B7 TRAS.               ;;;;;;1; UN   ;; 00162594-02-NHZ
204;202;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.12969; MT2  ;; 00209835-01-V20
205;202;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.0033; BI   ;; AD - ADFA15    
206;202;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
207;202;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
208;202;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
209;202;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
210;202;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
211;;Pieza Final;1;;;;;;;;;;00162635-03-V20
212;211;Insumo;1; PLASTICO APB DER B7 TRAS.               ;;;;;;1; UN   ;; 00162657-02-NHZ
213;211;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.129698; MT2  ;; 00209835-01-V20
214;211;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.1; BI   ;; AD - ADFA15    
215;211;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.1; BO   ;; AD - REGV0.6   
216;211;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
217;211;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.1; BI   ;; PPBL - 3A      
218;211;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.1; BI   ;; PPBL - 3B      
219;211;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
220;;Pieza Final;1;;;;;;;;;;00162635-04-V20
221;220;Insumo;1; PLASTICO APB DER B7 TRAS.               ;;;;;;1; UN   ;; 00162657-02-NHZ
222;220;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.12969; MT2  ;; 00209835-01-V20
223;220;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
224;220;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
225;220;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
226;220;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
227;220;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
228;220;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.16667; UN   ;; SEP/REYDEL     
229;;Pieza Final;1;;;;;;;;;;00162635-05-V20
230;229;Insumo;1; PLASTICO APB DER B7 TRAS.               ;;;;;;1; UN   ;; 00162657-02-NHZ
231;229;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.129635; MT2  ;; 00209835-01-V20
232;229;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
233;229;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
234;229;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
235;229;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
236;229;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
237;229;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
238;;Pieza Final;1;;;;;;;;;;00168442-03-V20
239;238;Insumo;1; PLASTICO APB IZQ B7 DEL.                ;;;;;;1; UN   ;; 00162536-02-NHZ
240;238;Insumo;2; SANSUY CUERO APB                        ;;;;;;0.132028; MT2  ;; 00173623-01-V20
241;238;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
242;238;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
243;238;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
244;238;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
245;238;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
246;238;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
247;;Pieza Final;1;;;;;;;;;;00168442-04-V20
248;247;Insumo;1; PLASTICO APB IZQ B7 DEL.                ;;;;;;1; UN   ;; 00162536-02-NHZ
249;247;Insumo;2; ADHESIVO FA X 18 L.                     ;;;;;;0.00333; BI   ;; AD - ADFA15    
250;247;Insumo;3; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
251;247;Insumo;4; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
252;247;Insumo;5; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
253;247;Insumo;6; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
254;247;Insumo;7; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
255;247;Insumo;8; SAMFOAM III TEP-CL58-PRETO S092         ;;;;;;0.132029; MTS  ;; TEPCL58        
256;;Pieza Final;1;;;;;;;;;;00168465-03-V20
257;256;Insumo;1; PLASTICO APB DER B7 DEL.                ;;;;;;1; UN   ;; 00162546-02-NHZ
